GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,Seminar,SystemAnalysisAndDesign,GPAgraduate
2564,100261047,B,A,A,B+,A,C+,B,,,A,,B,B+,B,A,C+,A,B,B+,A,A,B+,A,B+,C+,A,A,A,A,B+,3.44
2564,100261054,C+,C,B+,D+,C,C+,B,,,,,C,C+,C,B,D+,C+,D+,D,B+,C,C+,C,B,C,,B+,B,A,C,2.59
2564,100261059,D+,D+,B+,D,C,C+,,,,A,,C,C+,D+,B+,D,C,C,D+,B+,C+,B,D,C+,C+,,C+,B,C+,B+,2.52
2564,100261060,D,C+,A,D+,C+,C,B+,,,,,C,C,F,C,D,C,C,F,A,B,D+,D+,C+,B,C,C,C,A,D+,2.31
2564,100261080,D+,C+,B+,C+,B+,C+,,,,A,,C,B,D+,C+,C,B,C,D+,A,B,C,D,C,C+,,B+,C,A,C,2.6
2564,100261093,D,C,A,D+,C,C+,,,,A,,C,C+,D,C+,D+,C+,C,D,A,C+,D+,C,C+,C,,B,,A,C+,2.57
2565,100261094,C,D+,B,C,C,C+,,,,,,D,D+,D,C+,D+,C,C,D+,B,B,C,D,C,C,D+,C+,,A,C,2.07
2564,100261096,C,A,B+,C,A,B,,,,A,,B,A,B,C+,C+,B,C,B,A,A,B,C,B+,A,,A,,A,B,3.17
2565,100261098,C,C,A,D,C,D+,A,,,,,D+,D+,F,C+,D,D+,D+,D,B+,C,C+,D+,C,C,,C+,C,B+,D+,2.06
2565,100261105,C,A,A,D+,C,B,,,,B,,C,D,D,C,D,C,C,D,B,F,C,F,C+,C,C,C,B+,B,D+,2.21
2564,100261108,C+,C,B+,D+,C,C,,,,,,C,C,D,C,D+,C+,C,D,A,B,C+,C,C,C+,C+,C+,,B,C,2.39
2564,100261112,C,D+,A,F,C,C+,B,,,A,,C,D+,D+,C+,D,D+,C,D+,C+,B,C,C,C,C+,D+,B+,C+,A,B,2.24
2564,100261121,D+,C,B+,C,C,B+,A,,A,,,C,D+,D+,B,D+,D+,C+,D,B,B,B+,D,C+,C+,D+,B,,C+,A,2.54
2564,100261126,C,C,A,D+,C,B,,,,A,,C,B,D,B+,D,C+,C,D+,A,C+,B,D,C+,C+,,C,C,A,C,2.53
2564,100261135,C,D+,B+,D,C,C+,,,,A,,C,D+,D,C+,D,C,D+,F,B+,C,D,D,C,C+,,D+,C,A,C,2.05
2564,100261149,D,B,B+,C+,A,B,,,,A,,B,C+,D+,C+,C,B,C,C+,A,B,C,D+,C+,B,,A,,A,C+,2.84
2564,100261151,D,B+,B+,D,A,B,,,,A,,C,C,C,C+,C,D+,C,D+,C+,B+,C,D+,C+,B,C+,B+,,A,C+,2.47
2564,100261153,C+,B+,B+,B+,A,B,,,,A,,C+,C+,C,A,C,A,C+,A,A,B,B+,C,B,A,,A,,C+,B,3.28
2564,100261194,D+,B+,B,C+,A,C+,,,,A,,D,C,D+,C+,D+,C+,C,C,B,B,C+,F,C+,C,D+,B+,,A,C,2.39
2565,100261230,C,C+,A,D,C+,D+,B+,,,,,F,C,C+,D+,D,C,C,D,B,C,C+,D+,C,C+,C+,C,,B+,C,2.28
2564,100261235,B+,A,A,A,A,B,A,,,A,,A,A,A,B,B+,A,B+,A,A,A,B+,A,A,C+,A,B+,A,A,C+,3.59
2564,100261237,C,A,B+,B,B+,D+,B,,A,,,C,B,C+,B,C,B,C+,D+,B,A,C+,C,B,B,C+,B+,,A,A,2.77
2564,100261275,C,A,B+,C+,A,B,,,,,,B,C+,C,C,D+,B,C+,D+,A,A,C,C,A,C+,B,B+,,A,A,2.9
2565,100263612,C,B,B,D,C,C,B+,,B,,C,D,D,D,C+,C,D+,C+,F,B,C,C,C,C+,D+,C,B,,C+,,2
2566,100269146,C,C,A,C+,C,C+,,,,,C+,C,C+,D,C,D+,C+,C+,D,D,D,D,F,C+,,,C,,C+,D,2.14
2565,100269314,C,C,A,D,C,B,,,,,C+,C+,B,D,C+,C,B,D,D,D,D,D+,D,C+,,,B+,,C+,C,2.35
2565,100270640,B,B+,A,B,A,B,,,B,,C+,A,A,B,B,B,B,C+,B,A,B+,B+,B,A,C+,A,A,A,A,B+,3.36
2565,100270662,C,C,B+,D+,C+,C,,,B,A,D+,C,C+,D+,C+,C,D+,B,C,C+,D+,D,C,C+,,A,,,C+,C,2.31
2565,100270678,C+,C+,A,B,C+,B+,,,A,A,C+,C+,B+,C+,C+,C,A,C,C+,B,C+,D+,C+,B+,C+,,,B+,B+,B+,3
2565,100270688,B,B,A,B,A,C+,B+,,A,,D+,B+,B+,C+,B,C,C+,C+,C+,B+,B,C+,C,C+,,C,A,,A,B+,3.05
2565,100270697,C+,A,A,F,A,C+,,,A,,C+,C+,A,D+,B,C,C,B,C,B,A,D+,B+,B+,,A,B+,B+,A,B,3.08
2565,100270705,C,C+,A,C,C,C+,,,B+,A,D+,C,C,D+,C+,D+,B,C,D+,C,C,D+,D+,C,C+,,,,B+,C+,2.21
2565,100270712,A,C,B+,B,B,C,,,B,A,C,C,C,B,B,C,C,C+,C,B,D+,D+,D+,C+,,B,B+,D+,C+,D+,2.48
2565,100270720,C+,C+,A,C,C,C+,,,B+,A,C,C,C,C+,C+,C,C,B,C,B+,B,B+,C+,C+,C+,C,B,B+,A,B,2.7
2566,100270750,C+,C+,A,F,B,C,,,A,A,D+,C,C,D+,C,D,D+,C+,F,C+,C,D,C,C+,C,C,B+,C+,A,D+,2.16
2566,100270751,C+,C+,A,C,B,C+,B+,,A,A,C,C,C,D+,B,C,B,C+,B+,B,A,D+,B+,C+,,,C+,,A,B+,2.78
2565,100270770,C+,C+,A,C,B,C+,,,B,,C,B,C+,B,C+,C,C,B,D+,B+,A,D+,B,C+,C+,C,B,,A,C+,2.73
2565,100270772,B,C,A,F,C+,B,,,B,A,C,C+,B,C,B,C,D+,C,D+,B,B,C+,C+,B,C+,B+,A,,B+,C+,2.71
2566,100270775,C,C,A,D+,C,C,,,B,A,D+,C,D+,D+,C,D+,D+,C,D,B+,D+,D+,D,B,C+,D+,D+,,B,D+,2.07
2565,100270785,A,A,B+,A,A,C+,A,,B+,,C,A,A,B+,B,B,A,B,A,A,A,B+,B,B+,B,A,,A,A,A,3.63
2565,100270787,B,C+,B+,C+,B,C,,,B,,B,C,C+,B,B,C,C+,B,C+,B,B+,C+,C+,B+,B,A,C+,A,A,B,2.76
2565,100270803,C,C,A,D+,C,C+,,,B+,,C+,C+,C,C,B,C,D+,C+,D,C+,B,C,C,B+,C+,A,B+,B,A,C+,2.47
2565,100270815,C,A,A,D+,A,B,,,B,,B,B,A,A,C,C+,C+,C+,C,B,C+,D+,C,A,,B+,A,B+,B+,C+,2.78
2565,100270818,C+,C,A,D+,C,C+,,,B,,C+,C,B+,A,C+,C+,C+,C+,C,C+,C+,C+,B,B+,B+,A,B,A,A,C+,2.72
2565,100270829,B,B,A,B,B,C+,,,B,,B,A,A,B,B,C+,B,C+,B,A,A,C,B,B+,B+,B,A,,A,B,3.14
2565,100270830,B,C,A,B,B+,C+,,,B,A,C+,C,A,C+,B,C,C+,C+,C+,B,C+,C,C,C+,,B+,,,A,C+,2.7
2565,100270831,B+,B+,B+,,C,B,,,B,A,B,C+,C,C,B,C,B+,C+,C+,B,D+,D+,D+,C+,,B,B,D+,C+,D+,2.54
2565,100270833,C+,D+,B+,D+,C,C+,,,B,A,C+,C,C,C+,B,D+,C,C+,D+,C+,B,C+,C+,C+,B,C+,B,C+,A,C+,2.58
2565,100270836,B,B+,A,C+,A,B,,,B,B+,C+,D+,C+,C+,B,D,C+,C,C,C,C,B,D,C+,C,A,B+,D+,B,D+,2.33
2565,100270839,C+,C+,A,C,A,C+,B+,,B,A,B,C+,B+,C+,C+,C,B,B,C,A,A,C,A,A,,,A,,A,B+,3.22
2565,100270848,B,B,A,C+,A,B,A,,A,A,A,B+,A,B+,A,B,A,B,C+,A,A,C+,B+,B+,,,A,,A,A,3.6
2565,100270877,C+,B+,B+,B,B,B,,,B,,B+,C+,A,B+,C+,C+,C+,C+,C+,A,A,D+,C+,B,A,A,A,,A,B,3.08
2565,100270887,C+,C+,A,D+,D+,C,,,B,,C+,C,C,D+,C,C,D+,C+,C+,C,C+,C+,B,B+,B,B,B,A,A,C+,2.52
2565,100270888,C+,C+,B+,D+,C,C,,,B,A,B,C,C,C,C,C,D+,C+,D,C,C,D+,C,C,C,B+,B,,B+,B,2.34
2565,100270897,C,C+,A,D,C+,C,,,B,,B+,C,C,C,C+,D,D,C+,D,C+,C+,C,D+,B,C,C,B,,B+,D+,2.23
2566,100270900,D+,C+,A,D+,D,C+,,,B,A,B,C,C+,C,C,D+,D+,B,D,C+,A,F,B+,B,C+,C,B,C,C+,C+,2.34
2566,100270908,B,D,A,F,D+,B,,,B,,B,C,C,D,C+,D,D+,C,F,C,C,D+,C+,C,,B+,B,,A,C,2.28
2565,100270912,C+,C,A,F,B+,C+,,,C+,,C+,C,B+,D+,B,C,D+,C+,D+,B,A,D+,C+,B+,,B,A,B+,A,C+,2.63
2565,100270939,B+,D+,A,C+,C+,B,B+,,B,,B+,C,B,B,B,C+,B,C+,C+,B,A,B,B+,A,,B+,A,,A,B,3.27
2565,100270954,C,B,A,C,B+,B,C,,B+,,C+,B,B+,C,B,C,B+,B,C,B,C+,D+,C+,B+,,A,A,A,A,B,2.94
2565,100270965,C+,C,B+,D+,C+,B+,B+,,B,A,B+,B+,B,C+,C+,C,C,B,C,B+,B+,C+,B,A,,B,B+,,A,B,3.07
2565,100270967,B+,C+,A,C,A,B+,,,B+,A,B,A,D+,D,C,D+,C+,B,F,A,A,D+,A,A,B,A,B+,,A,B,3.11
2566,100270970,D,D,B+,F,D+,B,,,A,B+,B,D+,C,D,C,D+,D+,C+,D,C+,C,D,F,C+,C,C+,D+,B,B+,D+,2.19
2565,100270973,C,C,A,D+,D+,C+,,,B+,,B,C,C+,C+,C,C,D+,C+,C,B,C+,C+,C+,A,C+,B+,C+,A,A,B+,2.57
2565,100270976,B,C+,A,B+,B+,C+,,,B+,A,B+,A,A,B+,B+,B,A,C+,B,A,A,B,B+,B+,B,,,B+,A,B+,3.48
2566,100270981,C+,C,A,D+,C,C+,,,B+,A,B,C+,D+,D+,C+,D,D+,C+,D+,B+,C,D+,C+,C,C,D+,,C,C+,C,2.34
2565,100270987,A,A,A,A,A,B,B,,A,A,A,A,A,A,A,A,A,B+,C+,A,A,A,B,B+,B,B+,,A,A,B+,3.72
2565,100270990,C,B,A,F,C,C+,,,A,A,B+,C,C+,D+,C+,C,C,C+,D,D+,D,D+,D,B,,A,A,D+,A,C,2.33
2565,100270991,B,A,A,C,A,B,,,A,B+,B+,C+,B,C,C+,C,B,C,D,B,C+,D,A,C,,A,A,B+,A,B,2.81
2565,100270992,C,C+,B+,C+,B+,B,B+,,B+,,B,C,C+,D,C+,D+,B,C,D+,C,D,B,C,C+,,B,C,,B+,D+,2.33
2565,100270999,A,A,A,A,A,B+,,,A,A,A,A,A,A,A,B,A,B,A,A,A,C+,A,A,,A,,A,A,A,3.86
2565,100271000,C+,C,A,C+,B+,B+,B+,,A,A,B+,C+,B+,C+,C+,C,C+,C+,D+,B,B,B,D+,B+,,,B+,C,C,B+,2.97
2565,100271008,C,C,A,C,B+,C,,,B+,A,B,C,C+,B,D+,C,C+,B,C,B,C,D+,C+,C+,C,B,B+,B,B+,C+,2.54
2566,100271014,B,C+,A,D+,B,B,,,A,B+,C+,C+,B,D,C,D,C,C+,D,B+,B+,D,B,C,C+,A,B,B,A,D+,2.49
2565,100271067,C,C,B+,C,C,C+,,,A,,C,C,C,F,C,D+,C+,C,D+,C,C,C+,D,C+,C,,,C+,A,D+,2.09
2565,100271068,C+,C,B+,D,C,C+,A,,A,B+,C,C+,C+,D+,C+,C,D+,B,D,C+,D+,D,D+,C+,C,,,A,C+,C,2.27
2565,100271070,C+,D+,A,B,C+,B,B+,,B+,,C+,C+,B,C,B,C,C,B,C,C+,C+,D,C,C,C,C,C+,D+,B,C,2.6
2565,100271071,C+,C,A,C+,C+,B,,,A,A,C+,B+,B,C+,C+,C,C+,C+,C,B,C+,D+,B,B,B,,,B+,A,B,2.84
2565,100271074,C,B,A,C,B+,C+,,,A,B+,B,B,B+,A,C+,C,C+,C+,D+,B,A,D+,A,C+,C+,B+,A,B+,B,C+,2.8
2565,100271085,C+,D,A,F,C,B,A,,B,,C+,C,C+,D+,B,C,D+,C+,D,C,B+,D,B,C+,,B,C+,C+,B,B,2.63
2565,100271090,C,B,A,C,C+,B,,,A,,B,D+,B+,C+,C+,B,B+,C+,C,C+,B,C,C+,B,D+,B,B,,A,B,2.71
2565,100271116,C,D+,A,D,C+,C,,,B,,C+,C,C+,B,C,D+,D+,C+,C,C+,C+,D,C+,B,B,,,B,A,C,2.41
2565,100271136,C+,C+,A,C+,B+,C+,,,A,,B+,C,C,C,D+,D+,C,C+,D+,C+,B+,C,B,C+,B,C+,A,,B,C+,2.63
2565,100271143,C+,C+,B+,C,C+,B+,B,,A,,B+,C+,B,D,C+,C,C+,C+,D+,C,D+,C,C,B+,,A,B+,,A,B,2.65
2565,100271144,C,C+,B,D+,C+,C+,C+,,A,,C+,C,C,D,C+,C,D+,C+,D,B,C,C+,C+,B,,B,B,,A,C+,2.45
2566,100271146,B,B+,A,F,C,C+,,,A,,C+,C,B+,D,C,D+,D,C+,F,C+,B+,D+,C+,C+,C+,A,B,B,A,D+,2.6
2566,100271155,F,C+,A,F,D+,C+,,,B,B+,C+,B,C,C,C,D,D,C+,F,B,B+,F,B+,B,C+,B,B+,B,B+,D+,2.42
2565,100271158,D+,C+,A,F,C,C,,,B,,B,C,C+,C,C+,D,F,B,D,C+,C,C,C+,C+,C+,D+,D+,,A,C+,2.25
2565,100271162,C+,C+,A,F,C,B,B,,A,,B+,C,C,D+,B,D+,D,C,D,C+,C,D+,C+,B,,B+,C+,,A,D+,2.37
2565,100271163,A,B,A,A,B+,B,,,A,,B,C+,A,C+,B,B+,A,C+,A,C+,A,B,A,B+,C,A,A,B,B,B,3.39
2565,100271195,C+,B,A,B+,C,C+,,,B,B+,C+,C,C+,B,C+,C+,C,B,C+,C,A,D+,A,B,C+,B,B,C+,B+,C,2.65
2565,100271196,C+,D,A,C,C+,B+,A,,A,,B,C+,B,D,B,C,C,C+,C,B,A,C,A,B+,B,A,B+,C+,B,B,2.96
2565,100271200,B,C,B+,C,C+,C+,,,B+,,C+,C,B+,D,A,C,B,C+,C+,B,A,C+,C+,B+,C+,A,A,B+,A,C+,2.92
2566,100271204,A,A,A,A,A,B+,,,A,,B+,A,A,A,A,A,A,B,B+,A,A,D,B,A,,A,,A,A,B+,3.62
2565,100271208,A,C,B+,C+,D+,C,,,A,B+,C,B,C+,D,B,C,C,C+,D,C+,D+,D,D+,B,C,A,C+,D+,B+,D+,2.33
2565,100271216,C,C+,A,D+,C,C+,,,B,,B,B,A,B+,C+,C,C,B+,C+,B+,B,C,B,A,C+,A,B+,A,A,B+,2.96
2565,100271219,B,C,A,B,F,D,,,A,C,C+,D+,C+,C+,B,C,,B+,C,B,C,D,D+,C+,C,,B+,C+,A,B,2.53
2565,100271231,C+,A,A,B,A,C,,,A,A,B,B,C+,B,B+,B,C+,C+,C+,B,B+,B+,B,B,C+,B,A,A,B+,B+,3.16
2566,100271246,D+,C,A,F,D+,B,,,A,A,B,B,B,C+,C+,C,D,C+,D+,C+,A,D+,B+,B+,C+,B+,B+,B,C+,B,2.69
2566,100281821,C+,A,A,B,A,,,,,A,C,A,B+,B+,C+,C+,A,C+,A,B+,B+,C+,C,B+,,A,B,,A,B+,3.21
2566,100281825,D,B,A,F,C,,,,B,,,C+,B,D,F,D+,D+,C+,C,A,D,D,D,C+,,,D+,C,A,D+,2.09
2566,100281829,B,A,A,A,A,,,,A,A,,B,A,C+,B+,B+,A,B,A,B,C+,A,C+,B+,C+,,B+,B+,A,B+,3.31
2566,100281858,D+,C,A,D+,C,,,,,A,,C+,C+,D,C+,C+,C,C,B+,C+,D+,D+,F,C,,B,C,,A,D,2.17
2566,100281859,B,B+,A,A,C+,,B,,A,,C,B,B+,D,A,C+,A,B+,A,C+,C+,B+,D+,A,,,C+,B+,A,B+,3.16
2566,100281866,C,B+,A,C,A,,,,,,,B,C+,D+,D,C+,B,C+,A,B+,C,B,D+,B,,,C+,B+,A,B,2.78
2566,100281887,D,C+,A,D+,C,,,,,,,B,B,D,C,C,C,C,C+,C+,D,D,D,C,,C+,C+,,B+,D+,2.21
2566,100281892,D+,D+,A,D+,B,,B,,A,,C,B,B,D+,B+,C,C+,B+,A,C+,D+,C,C,B,C,,C,C,B+,C+,2.65
2566,100281894,D+,D+,A,D,D,,,,,A,,B,B+,D,C,D+,D,C+,C+,D,D+,C,F,B,,,D,B,A,C,2.23
2566,100281903,C,B,A,A,A,,,,A,A,,B+,B+,C+,B+,B,A,B,A,B,C+,B+,C,B,C+,,A,B,A,C,3.2
2566,100281906,D+,C+,A,C+,B,,,,,A,,B+,B,C+,C+,C+,B,C+,A,B+,C+,C+,C,B+,,,C+,B+,A,B+,3.03
2566,100281937,D+,D+,A,F,D,,,,A,A,C+,B,B+,C,C+,C,D,B,A,B,D+,D+,F,C+,C+,,C,B+,B+,C,2.63
2566,100281946,C,C+,A,B+,C,,,,A,,,B+,B+,C,C+,C+,B,B,A,B,C,B+,C+,B+,C+,A,,B,B,B,2.91
2566,100281955,D,D+,A,D,D+,,,,A,A,,B,D,D,D+,C,D+,C,B+,B+,D,D,F,C,D+,C,C,,B+,D+,2.14
2566,100281958,D+,D+,A,D,C,,,,,A,C,B,C+,D,C,C+,D+,C+,B,B,D+,C,F,C,C+,,C,C,A,D+,2.36
2566,100281963,D,D+,A,D+,D+,,C+,,,,,C,B,D+,D+,C,D+,C+,B+,C,D+,C,D+,B,,,D,C+,A,D,2.21
2566,100281968,C+,A,A,A,A,,,,A,A,,A,B+,B+,A,C,A,B,A,B,C,B,B+,B,B,B,C+,B,B,B+,3.24
2566,100281970,C,B,A,B,B+,,,,,,,C+,B,D,D+,D,C+,D,C+,C+,C,B+,C,B,,,C+,,A,B,2.41
2566,100281972,D+,A,A,D+,A,,,,,A,,B+,A,F,C+,C,C,B,A,C,B,B+,C+,B+,,C+,B,B+,A,A,3.01
2566,100281976,C,C+,A,C+,A,,,,A,A,,B,A,C+,A,B,B+,B,A,B,C,C+,C,B,C,,A,B+,A,B+,3.15
2566,100281989,F,C,A,D+,C,,,,A,,,B,C+,D+,B,D,C+,C+,C+,D+,D+,B,C,B,C,B+,,B+,A,C+,2.53
2566,100281991,D+,C+,A,C,B+,,,,,,,C+,C+,C+,C,C,D+,C+,B+,B,D+,C,D+,B,,,B+,B,A,B,2.6
2566,100281992,D+,C,A,C+,C+,,,,A,,,B,B+,D,A,C,C+,C+,A,B+,C,C,D+,C+,,B,C,C+,B+,D+,2.65
2566,100282004,D,F,A,D,D,,B,,A,,,B+,C+,D,D,C,D,C+,C+,C,D+,D,F,C+,D+,,D+,C,B+,C+,2.12
2566,100282007,C,A,A,B,A,,,,,A,,B+,B+,D+,B,C,A,B,A,C+,C,B,C,B,,C,B,B+,A,A,3.11
2566,100282008,C,B+,A,C,A,,,,A,A,,A,C+,B,A,C,C+,C,A,C+,B,B+,C+,B,,B,C+,B,B+,C+,2.98
2566,100282013,C,A,A,B+,A,,,,A,A,,B+,A,B+,A,C+,B,B+,A,C+,B,C+,B,C+,C,,A,A,A,B,3.07
2566,100282014,C,D+,A,D+,D,,,,,,D+,B,B,D,C+,D+,D+,C,A,C+,C,B,D+,B+,,,C+,C+,A,D+,2.45
2566,100282015,D+,D+,A,F,D+,,,,,A,,B+,C+,D+,D+,C,D+,D+,A,B+,D,D+,D,C+,,,D+,C+,A,C+,2.44
2566,100282017,D+,C,A,C+,B+,,,,,B+,,B,B,C+,A,C+,C,C,B,B,D+,C,D+,C+,,A,C+,,A,C,2.71
2566,100282022,C,C,A,D,C+,,,,B+,A,,B,C+,D,B,D+,C,C+,B+,C+,D,F,F,C+,D+,C+,,C,C,D,2.26
2566,100282048,F,D,A,F,D+,,,,,A,,B+,B,D,B+,D,F,C+,B,B,D,D,F,C,,C,D,,A,C,2.31
2566,100282050,D,C,A,D+,C,,,,A,A,,B,A,D,B+,B,C,C+,A,B,D,D,F,B,C+,,D+,C+,A,D,2.52
2566,100282057,D+,B,A,C+,C,,C+,,B+,,,C+,B,D+,C+,C,C,C+,A,B,C,B,C,B+,,,C,B,A,C,2.68
2566,100282067,C,B,A,B,A,,,,A,A,,B+,A,C+,B+,B+,B+,B,A,B+,B,A,B,A,C+,,A,B+,A,B+,3.37
2566,100282069,C,B,A,C+,B,,,,A,A,,A,A,C,B,B,B,B,A,B+,D+,B,D+,B,,,C+,B,A,B,3.02
2566,100282070,C,C+,A,C+,B,,,,,,,B,A,C+,B,C+,B,B,A,C+,C+,A,C,A,,,C,B,A,B,3.12
2566,100282075,D+,C,A,D,B,,,,,A,,B+,A,C+,C+,C+,C,B,A,B+,B,A,B,A,,,C+,B+,A,B+,3.1
2566,100282127,D,C,A,D+,B,,,,A,A,C,B+,A,B,B,C,C,B,A,B+,C+,D+,C,B+,C+,,C+,B+,A,C+,2.88
2566,100282140,D,C+,A,C,B,,,,,A,,D+,A,D+,B+,C,D,C+,A,C+,D+,C,C,B+,,,C+,C+,B+,A,2.61
2566,100282141,C+,B+,A,C+,B+,,,,A,,,B,B,D,C+,C,A,C,A,B+,D+,C+,D+,C+,,C,C+,B,B+,D,2.72
2566,100282142,D+,D+,A,D,C,,,,,,,B,A,D+,B+,C+,C,C+,A,B+,C,D,D,C,,,C+,C+,A,C+,2.53
2566,100282146,D+,A,A,D+,A,,,,,,,C,B+,D+,D,D+,C+,C+,C+,B+,D,C,C,B+,,,C+,B,A,C,2.49
2566,100282150,D+,F,A,D+,D+,,,,A,A,,B,D+,D,C+,D+,D+,C,C+,D+,D+,C+,D,C,D+,D+,,,A,D+,2.19
2566,100282158,D+,B,A,C,A,,,,A,,,C,C+,C+,C+,D+,C,D+,B+,B+,C,B+,C,B,,A,C+,C+,B+,C+,2.7
2566,100282167,C,B,A,C+,A,,,,A,A,,B+,B,D,B,D+,C+,B,A,C+,C,C,C,B,,B,C+,B+,B+,B,2.79
2566,100282172,D+,B+,A,C,B,,,,A,A,,B+,A,D+,B,B,C+,B,A,B+,D+,C,D+,B,,,C+,B,A,B,2.95
2566,100282177,C,B+,A,C+,A,,,,A,A,,A,B,A,B,C,C+,C+,A,B,C,C+,C+,B,,A,B+,B,A,B,3.03
2566,100282178,C+,C+,A,A,A,,,,A,,,B,A,C+,A,B+,A,B+,A,B,B+,A,C+,A,C+,,A,B+,A,A,3.54
2566,100282180,D+,A,A,D+,A,,D+,,A,A,C+,B,C+,F,B,D+,C+,C,A,B+,C,B,B,B+,,,A,B+,A,B,2.93
2566,100282183,C,B+,A,A,A,,,,,A,,B+,A,C+,B,B,B,B,A,B+,B+,B,B,B,,A,C+,B+,A,A,3.32
2566,100282184,C,B+,A,C,A,,,,,A,C,C+,D+,C+,B,C,C+,C,B+,C+,C,C,D,B,C,C+,A,,C+,B,2.66
2566,100282185,D+,C+,A,F,C+,,,,B+,,,C+,D+,D,D+,D,C,C,C+,C+,D,C,C,C+,,,C,B,A,B,2.37
2566,100282190,D,D,A,F,D,,,,A,A,,B,B,D,C,C,F,D+,B+,B,D+,F,F,C,,,D+,C+,B+,D+,2.28
2566,100282214,C,C,A,C+,C,,,,A,A,C,B+,A,C+,B,B,B,C,A,B+,C,C+,C,C+,B+,,C+,B+,A,B,2.92
2566,100282216,C,C+,A,F,C+,,,,A,A,,C,A,F,C+,C,D,C+,B,C,D+,C,D+,C+,,,C+,B+,A,B,2.63
2566,100282232,A,A,A,A,A,,,,,A,,A,A,A,A,A,A,B,A,A,A,A,A,A,,,A,A,A,A,3.97
2566,100282234,C+,C+,A,C,B,,,,,A,B,B+,C,C+,C,C,B,C+,A,B+,C,C+,D+,C+,C,D+,B+,,C+,B,2.71
2566,100282249,D+,D+,A,D+,C+,,,,A,A,,B+,C+,D+,C,D+,C,C+,B+,B,D+,C,D+,C,C,B+,C,C+,A,C+,2.46
2566,100282260,D,D+,A,F,D+,,,,B+,A,,B,B+,D,D,C,C,C+,A,B,D+,D,F,C,,,D+,C+,A,D,2.34
2566,100282276,D,C+,A,D,C,,,,A,A,D,B+,C+,F,C+,C,D+,B,B+,C+,D+,C,D+,B,,A,C+,,A,C,2.41
2566,100282279,D+,C,A,C,B,,B+,,,,C+,B+,B,D+,B+,C,C+,C+,B,C,D+,C+,D+,B,C,,C+,C,A,C,2.6
2566,100282283,D+,D+,A,F,D,,,,,A,C,B,B+,D+,B,C+,D+,C,A,B,C+,C,D+,B,B,,C+,A,A,C,2.59
2566,100282291,D+,D+,A,F,C,,,,,A,,C+,A,D,C+,D+,D+,C+,B,C,D+,C,C,B+,,,C,C+,A,C+,2.47
2566,100282295,A,A,A,A,A,,,,,,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,,A,A,A,A,3.84
2566,100282300,D,F,A,F,D,,D+,,A,,D,B+,B,D,D+,C,D,B,C+,C+,D+,D,F,C,D+,,D,C+,A,D+,2.07
2566,100282301,D,D,A,F,D,,,,A,A,,B,B+,C,D+,C+,D+,C+,A,B+,D+,D+,D,C+,,,D,B,A,D+,2.44
2566,100282306,D+,C,A,D+,C,,,,A,A,,B+,B+,D+,D,B,C,C+,A,B+,D+,C,D+,B,,,C,B+,A,C,2.68
2566,100282310,C+,B+,A,B,A,,,,,A,,B+,B+,C+,C+,C+,A,A,A,B,A,A,C+,A,,,B,B,A,A,3.45
2566,100282312,D+,C+,A,D,C+,,,,,,,C+,B,C+,C,C,C,D+,B+,B+,C,B+,C,A,C+,,C+,,B+,B,2.59
2566,100282316,D+,A,A,A,A,,B,,,,C+,A,A,A,B,B,B,B,A,A,C+,B+,C,B+,C,A,B,B+,A,A,3.28
2566,100282328,C+,A,A,C+,A,,,,A,A,,B+,B+,C+,C+,B,A,C,A,B+,C+,C+,C,B,,,C,B,A,A,3.22
2566,100282334,D+,C+,A,C,D,,,,A,A,,C+,B+,D+,C,C+,B+,C,A,B,D+,C+,D,C+,C+,,C+,B,B+,D+,2.56
2566,100282344,D,D+,A,D,D,,,,,A,D+,A,B+,D+,D+,C+,D+,C,A,C,D+,C+,D,C+,,D+,D+,B,A,D+,2.34
2566,100282356,C+,C,A,A,B+,,,,A,,,B,B+,B,B+,C,A,C+,A,A,C+,A,C,A,,C,C,B,A,B+,3.19
2566,100282359,C,C,A,D+,C,,,,A,A,,C+,B+,C,C,C,D+,B,B+,B+,D+,D,C,C+,,D,C+,B+,A,C+,2.68
2566,100282360,D,C,A,D,A,,,,,A,,B,C+,D+,C+,C,D+,C,A,C,C+,D+,C,B,,,C+,B,A,C,2.52
2565,100287192,F,C+,A,C,D,C,,,,,B,,C,C,A,D+,C+,C+,A,,D,C,C+,B,C,,,,B,C,2.51
