GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,DataScience,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,EnergyAndTechnologyAroundUs,FundamentalEnglish,FundamentalLawsForQualityOfLife,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LifeAndHealth,LifePrivacy,MultimediaApplicationDevelopment,MusicStudiesInThaiCulture,ProgrammingLanguages,Seminar,SpecialTopicsInComputerScience,SystemAnalysisAndDesign,GPAgraduate
2562,100205568,1.5,3.5,3.841071429,2.5,1,2.5,2,2.5,3.60326087,0,2.532258065,3.5,1,1,1,1,2.453405018,1,0,1.5,1.5,1.5,1.5,3.5,2,2.81127451,2.773764259,2.977040816,2,2,3.5,2.680645161,2,2.861111111,3.120481928,3.5,3.5,3,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,1,3,2.858208955,2.5,2.1
2562,100205606,1,3.5,3.841071429,1.5,1,2,2.95412844,2.5,3.60326087,3.844117647,2.532258065,1.5,2,1.5,0,3.5,2.453405018,2,1,1.5,2,2.5,1,1.5,2,2.5,2,2.977040816,3,2,3.5,2.680645161,0,2.861111111,3.120481928,3.295,1.5,2,2.553191489,2.838709677,2.805882353,3.5,3.421875,3.303571429,2,1,2.5,2.858208955,2,2
2564,100215265,0,3,3.841071429,1.5,1.5,2,2.5,2.5,3.60326087,3.844117647,2,3.5,2.5,2.5,1,3,2.453405018,1,1,3.5,1,0,1,2.5,2.523255814,2,2.773764259,2.977040816,4,4,4,2.680645161,2.5,2.861111111,3.120481928,1.5,3.5,2.971590909,2,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,1,3,2.5,2,2.01
2562,100225543,0,2.5,3.841071429,0,1,2.5,2.95412844,2.5,3.60326087,3.844117647,2.5,2.5,1.5,1.5,2,1.5,2.453405018,2,0,2.5,2,1,1.5,1.5,2.523255814,2.81127451,2,2.977040816,3,1.5,1,2.680645161,3.5,2.861111111,3.120481928,3,2.5,3,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3.5,1,3,2,2.5,2.1
2565,100225544,0,2.5,3.841071429,0,2,3,2.95412844,2.5,3.60326087,4,1.5,2.5,2.5,3,0,2.5,2.453405018,2.5,1.5,3.5,1.5,1,1.5,1.5,2.523255814,1.5,2,2.977040816,1.5,2,1.5,2.680645161,3.5,2.861111111,3.120481928,2.5,2.5,3,2.553191489,2.838709677,3,3.458333333,3.421875,3.303571429,2.5,2,3,2.858208955,2,2.15
2562,100225553,0,1.5,3.841071429,0,2,2,2.95412844,2.5,3.60326087,3.844117647,2.5,0,1.5,2,2.5,2,2.453405018,2.5,2,2.5,1,1,1.5,1.5,2.523255814,0,2,2.977040816,3,1.5,1,2.680645161,3,2.861111111,3.120481928,2.5,0,2,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3,1,3,1,3.5,2
2562,100225572,1.5,4,3.841071429,1,4,3.5,2.95412844,3,3.60326087,3.844117647,2.532258065,4,1.5,1.5,2.5,2,2.453405018,2,1,4,1.5,1.5,0,2,2.5,2.81127451,2,2.977040816,3,4,3,2.680645161,4,2.861111111,3.120481928,3.5,4,2.5,2.553191489,2.838709677,1.5,3.458333333,3.421875,3.303571429,4,1.5,3,2,2,2.46
2562,100225580,1.5,2.5,3.841071429,0,2,3,4,2.5,3.60326087,3.844117647,2,2,1.5,2,2,2,2.453405018,2,1.5,2,1.5,1,0,2.5,2.5,1.5,2,2.977040816,1,1.5,1.5,2.680645161,2,2.861111111,3.120481928,2.5,2,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,1.5,3.416666667,1,2.5,3.5,2.5,2.08
2562,100239251,1,2,3.841071429,1.5,1,3,2.95412844,2.5,3.5,4,3,4,1,1,3,2.5,2.453405018,2,1.5,2,2,2.5,1.5,1.5,2.5,2.81127451,2.5,2.977040816,3,2.5,3.5,2.680645161,3.5,2.861111111,3.120481928,3,4,3,2.553191489,2.838709677,2,3.458333333,3.421875,3.303571429,3.416666667,1.5,4,3.5,3.5,2.3
2562,100239272,2.5,3,3.841071429,2.5,4,3,3,2.5,3.5,3.844117647,2,4,4,3,4,3.5,2.453405018,3.5,2.5,2,4,4,3,3.5,4,4,2.5,2.977040816,4,4,4,2.680645161,4,2.861111111,3.120481928,3.5,4,3,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.303571429,3.416666667,3.5,4,4,4,3.3
2562,100239306,1,2.5,3.841071429,1,2,3,3,3,4,3.844117647,3,3.5,2.5,1,3,2.5,2.453405018,2,1.5,2,2,1.5,2,2.5,2.5,2.5,2.5,2.977040816,4,3.5,4,2.680645161,4,2.861111111,3.120481928,3.5,3.5,3.5,2.553191489,2.838709677,2,3.458333333,3.421875,3.303571429,3.416666667,2.5,3,2,3,2.4
2563,100239308,0,2,3.841071429,3,1,2.5,1.5,2.5,3.5,3.844117647,2.5,3.5,1,2.5,2.5,1,2.453405018,2,0,2,1,1.5,1,1,2.5,2,2.5,2.977040816,2.5,3.5,2,2.680645161,4,2.861111111,3.120481928,3.5,3.5,2,2.553191489,2.838709677,1,3.458333333,3.421875,3.5,4,2,3,2.858208955,2,2.14
2562,100239321,1,2,3.841071429,2.5,2,2.5,2.5,2,3,3.844117647,2,4,2.5,1.5,2.5,3.5,2.453405018,2,4,2,2,0,2,1.5,2,2.5,2.5,2.977040816,2,3,3,2.680645161,4,2.861111111,3.120481928,3,4,3.5,2.553191489,2.838709677,1.5,3.458333333,3.421875,3.303571429,4,2,3,2.858208955,2,2.45
2563,100239325,0,2.5,3.841071429,1.5,2,3,1.5,2.5,4,3.844117647,1.5,2,1,1,2,2,2.453405018,2,1,2,2,2,1.5,1.5,3,2.81127451,1.5,2.977040816,2,2.5,1,2.680645161,3.5,2.861111111,3.120481928,3,2,3,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3,1.5,3.5,1.5,2.5,2.01
2562,100239333,2.5,3,3.841071429,3.5,3.5,2.5,2.95412844,3,3.5,4,3,4,4,3,3,4,2.453405018,2,4,2,2.5,2.5,1.5,2,2.5,3.5,3,2.977040816,4,2.5,3,2.680645161,3.5,2.861111111,3.120481928,3,4,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3,3,3.5,2.858208955,2.5,2.88
2562,100239381,1,2.5,3.841071429,1.5,2,3,2.95412844,2.5,3,3.5,2.5,3.5,2.5,2.5,2,2.5,2.453405018,2,1,3.5,2,1.5,1.5,2,3,2,2.5,2.977040816,2,1.5,2,2.680645161,3.5,2.861111111,3.120481928,3,3.5,3.5,2.553191489,2.838709677,1.5,3.458333333,3.421875,3.303571429,3,2,2.5,2.858208955,3,2.27
2562,100239418,1.5,2.5,3.841071429,1.5,2,3.5,2.5,3,4,3.844117647,3,4,3,1.5,3.5,3,2.453405018,2,3,1.5,2,1.5,2,2.5,2.5,3,2.5,2.977040816,4,2.5,2.5,2.680645161,4,2.861111111,3.120481928,3.5,4,3.5,2.553191489,2.838709677,1.5,3.458333333,3.421875,3.303571429,3.416666667,2,4,2.858208955,3,2.64
2562,100239446,1.5,3.5,3.841071429,1.5,2.5,3.5,2.95412844,2,3.5,4,2,4,2,2.5,3.5,3.5,2.453405018,2,3.5,2.5,3,4,2,1.5,2.5,2.81127451,2,2.977040816,3,2.5,3,2.680645161,4,2.861111111,3.120481928,3,4,2.5,2.553191489,2.838709677,3,3.458333333,3.421875,3,3.5,2.5,3.5,2.858208955,3,2.7
2562,100239462,2,2.5,3.841071429,2,2,2.5,2,2.5,3,3.844117647,2.5,4,1.5,1,1.5,2.5,2.453405018,2,2,2.5,1.5,2,1,1.5,1.5,2.81127451,1.5,2.977040816,1.5,2,1,2.680645161,4,2.861111111,3.120481928,3,4,3.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3.5,1,3,1.5,2,2.18
2562,100239469,1.5,3.5,3.841071429,1.5,2,2.5,2.95412844,2.5,3.5,4,2.5,3.5,3,2.5,3.5,2.5,2.453405018,2,2,1.5,4,3,2,2.5,4,2.81127451,3,2.977040816,3.5,2.5,3.5,2.680645161,3,2.861111111,3.120481928,3,3.5,3,2.553191489,2.838709677,3.5,3.458333333,3.421875,3,3,3.5,3.5,2.858208955,3.5,2.75
2563,100239473,2.5,2.5,3.841071429,0,1,2.5,2.95412844,2.5,3,3,2.5,2.5,1.5,1,1.5,1.5,2.453405018,2,1,2,1,1,1,1.5,1.5,2.81127451,2,2.977040816,2,3,1,2.680645161,3,2.861111111,3.120481928,3,2.5,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.5,3.5,2,2.5,2.858208955,2,2
2562,100239479,1.5,2.5,3.841071429,2,2,3,3.5,2.5,3.5,3.844117647,2,4,2,1,3,2.5,2.453405018,2,3,2,2.5,2.5,2,2,3,2,3,2.977040816,2.5,2,2,2.680645161,4,2.861111111,3.120481928,2.5,4,3,2.553191489,2.838709677,2,3.458333333,3.421875,3.303571429,3.416666667,1.5,2.5,2.858208955,4,2.49
2565,100239502,1,2.5,3.841071429,0,0,3,2.95412844,2.5,3,3.5,1.5,4,0,1,2,1,2.453405018,2,0,3.5,1,2,1,2.5,2.523255814,2,1.5,2.977040816,3,2.5,3,2.680645161,1.5,2.861111111,3.120481928,1.5,4,2.5,1.5,2.838709677,2.805882353,3.458333333,3.421875,4,4,2.5,1.5,1.5,1.5,2.08
2563,100239505,0,3,3.841071429,1.5,2,2.5,2.95412844,2.5,3,4,2,4,3,1.5,3.5,2,2.453405018,2,2,2,2,2.5,2,1,2.5,3,3.5,2.977040816,3.5,3,3.5,2.680645161,4,2.861111111,3.120481928,3.5,4,3.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.5,3,2,4,2.858208955,3,2.6
2562,100239535,1,2.5,3.841071429,1.5,2,3,3.5,3.5,3.5,3.844117647,1.5,4,2.5,1.5,3,3,2.453405018,2,1,2,1.5,1,2,2.5,3,3,3,2.977040816,3,2.5,2.5,2.680645161,4,2.861111111,3.120481928,3.5,4,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,3,3.5,2.5,3,2.39
2562,100239556,0,4,3.841071429,1.5,2.5,3,3,2.5,3.5,3.844117647,3,3,1.5,2,2.5,2,2.453405018,2.5,1.5,2.5,2,3.5,2,3,3.5,3.5,2,2.977040816,3,3,2.5,2.680645161,4,2.861111111,3.120481928,2.5,3,2.5,2.553191489,2.838709677,3,3.458333333,3.421875,3.303571429,3.416666667,2.5,3.5,2.5,2.5,2.51
2562,100239593,0,4,3.841071429,1.5,4,3.5,3,2,4,3.844117647,2.5,4,3.5,4,3,3.5,2.453405018,2.5,1.5,2.5,0,1,0,1.5,2,3.5,3.5,2.977040816,4,4,2.5,2.680645161,4,2.861111111,3.120481928,3,4,3.5,2.553191489,2.838709677,1,3.458333333,3.421875,3.303571429,3.416666667,2.5,3,1.5,2.5,2.47
2562,100239596,1.5,3.5,3.841071429,1.5,3,2.5,3,3,4,3.844117647,2,3,2,1.5,3,2.5,2.453405018,2.5,3.5,2,2.5,3.5,1.5,2,2.5,2.81127451,2.5,2.977040816,2.5,1,1.5,2.680645161,4,2.861111111,3.120481928,3,3,3,2.553191489,2.838709677,3,3.458333333,3.421875,3.5,4,2.5,3,2.858208955,3,2.59
2562,100239598,1,3.5,3.841071429,1.5,3,3,2.95412844,2.5,4,4,2.5,4,3.5,2.5,4,3,2.453405018,2.5,3,2.5,3,4,2,3,3,3,3,2.977040816,4,4,4,2.680645161,4,2.861111111,3.120481928,3.5,4,3.5,2.553191489,2.838709677,4,3.458333333,3.421875,3,4,3.5,3.5,2.858208955,4,3.07
2562,100239606,1.5,2,3.841071429,0,1,3,2.95412844,2.5,3,4,2.5,2,1.5,1,1,1.5,2.453405018,2,1,2,1.5,2,1.5,1,2.5,2.81127451,2.5,2.977040816,1.5,2,1,2.680645161,2,2.861111111,3.120481928,3,2,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3.416666667,2,3,2.858208955,1,2.01
2562,100239620,1.5,3,3.841071429,1.5,2.5,2.5,2.95412844,2.5,3.5,4,3,4,1.5,2.5,4,2.5,2.453405018,2.5,2.5,2,2,3,2,2,3.5,3,2.5,2.977040816,3,2,3.5,2.680645161,3.5,2.861111111,3.120481928,3,4,4,2.553191489,2.838709677,4,3.458333333,3.421875,3.303571429,4,3,3.5,2.858208955,3.5,2.8
2562,100239626,0,3.5,3.841071429,1,2,3,3,2.5,3.5,3.844117647,2,2,1.5,1.5,3,3,2.453405018,2,2,1,2,2.5,1.5,1.5,3,2.81127451,1.5,2.977040816,2.5,1.5,2.5,2.680645161,2.5,2.861111111,3.120481928,2.5,2,3.5,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.303571429,3.416666667,1.5,3.5,2.5,3.5,2.27
2562,100239666,1.5,2.5,3.841071429,1.5,2,3,3,2,3.5,3.844117647,2.5,2.5,1.5,2,2.5,3,2.453405018,2,4,1.5,2,3,2,1.5,3.5,2.81127451,2,2.977040816,3,2.5,3,2.680645161,3.5,2.861111111,3.120481928,3,2.5,2.5,2.553191489,2.838709677,3,3.458333333,3.421875,3.303571429,3.416666667,2.5,3.5,2.5,3.5,2.49
2562,100239667,2,4,3.841071429,2,4,3,2.95412844,2.5,3.5,3.5,2.5,3.5,1.5,1,3,2,2.453405018,2,1.5,2,2.5,3,2,1.5,2.5,3.5,3,2.977040816,2,2,2,2.680645161,2.5,2.861111111,3.120481928,3,3.5,2.5,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.303571429,2,2.5,3.5,2.858208955,3,2.44
2562,100239668,2,2.5,3.841071429,0,2.5,3,2.95412844,2.5,3.5,4,2.5,4,1.5,1,3,2,2.453405018,2,1.5,2.5,2,2,2,2,3,3.5,2.5,2.977040816,4,3.5,3,2.680645161,3,2.861111111,3.120481928,3.5,4,3,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.303571429,3.416666667,3.5,4,2.858208955,3,2.52
2562,100239684,4,2.5,3.841071429,3.5,2,2.5,3.5,2.5,3.5,3.844117647,2.5,3.5,2,1.5,3.5,3.5,2.453405018,2,2.5,2,2.5,3,2,1.5,2.5,2.81127451,3,2.977040816,3,2.5,3,2.680645161,3,2.861111111,3.120481928,3,3.5,2,2.553191489,2.838709677,3,3.458333333,3.421875,3.303571429,3.5,2.5,4,2.858208955,3,2.67
2564,100239685,0,2.5,3.841071429,1,2,3.5,2.95412844,3.5,4,4,2.5,4,2.5,2.5,3.5,3,2.453405018,3,1.5,2,3,2.5,1.5,2,4,2.5,3.5,2.977040816,3.5,4,2.5,2.680645161,4,2.861111111,3.120481928,4,4,3.5,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.5,3.5,3,2.5,2.858208955,3.5,2.82
2562,100239696,1.5,2,3.841071429,1,1,3,2,2.5,2.5,3.844117647,2.5,3,1,1,1.5,2,2.453405018,2,1,3,1,3.5,2,1.5,2.5,2.81127451,2.5,2.977040816,2,3,1.5,2.680645161,3.5,2.861111111,3.120481928,3,3,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3.416666667,1.5,3.5,2,3,2.14
2562,100239699,1.5,4,3.841071429,2.5,4,3,3.5,2.5,3.5,3.844117647,2.5,4,4,1.5,4,3.5,2.453405018,2,3,2.5,3,3,2,3.5,2.5,4,2,2.977040816,3.5,3.5,3.5,2.680645161,4,2.861111111,3.120481928,3.5,4,3,2.553191489,2.838709677,2,3.458333333,3.421875,3.303571429,3.416666667,3.5,2.5,2.5,3.5,2.88
2562,100239728,1.5,2.5,3.841071429,0,1,3,2.5,2,2.5,3.844117647,2.5,3.5,1,1,2,1.5,2.453405018,2,1.5,3,2,2,2,1.5,2.5,2.81127451,3,2.977040816,2.5,4,2.5,2.680645161,3.5,2.861111111,3.120481928,2.5,3.5,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,4,2,3,2.5,3,2.31
2562,100239743,1.5,2,3.841071429,1.5,1,2.5,2.5,2.5,3.5,3.844117647,2.5,3.5,2.5,2.5,2.5,2,2.453405018,2,1.5,2,2,2.5,1,1.5,3,2.5,2.5,2.977040816,2,3,3,2.680645161,4,2.861111111,3.120481928,2.5,3.5,2.5,2.553191489,2.838709677,2,3.458333333,3.421875,3.303571429,3.5,3,4,2.858208955,2,2.18
2562,100239751,3,4,3.841071429,3,4,3.5,2.95412844,3,4,4,3,4,4,4,3.5,4,2.453405018,3.5,4,4,4,4,3.5,4,3,4,4,2.977040816,4,4,4,2.680645161,4,2.861111111,3.120481928,4,4,4,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.5,4,4,4,4,4,3.79
2562,100239765,3,3,3.841071429,4,3.5,3.5,2.95412844,3,3,3.5,2.5,3,3.5,1.5,2.5,3.5,2.453405018,2,4,2,4,3,2,2.5,4,2.81127451,3.5,2.977040816,2.5,3,2,2.680645161,3,2.861111111,3.120481928,4,3,3,2.553191489,2.838709677,4,3.458333333,3.421875,4,3,3,3,2.858208955,2,3.04
2562,100239799,2.5,3.5,3.841071429,2,2.5,3,2.95412844,2.5,4,4,2,2,2.5,2,4,3,2.453405018,2,3.5,1,2,3,2,1.5,2,2.5,2.5,2.977040816,2.5,2,1.5,2.680645161,3.5,2.861111111,3.120481928,4,2,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,4,2,3.5,2.858208955,3,2.78
2562,100239815,1.5,2.5,3.841071429,1,1,3,2.95412844,2.5,3.5,4,3,3.5,1,1,3.5,2,2.453405018,2,2,2,2,3.5,2,3.5,2.5,3,2,2.977040816,3.5,2.5,2.5,2.680645161,4,2.861111111,3.120481928,3.5,3.5,3,2.553191489,2.838709677,2.5,3.458333333,3.421875,3.303571429,3.5,2,4,2.858208955,4,2.58
2563,100239827,0,1.5,3.841071429,1,0,2.5,2.95412844,2,3,3,2.5,1.5,1.5,1,0,2,2.453405018,2,0,3.5,1.5,1,1,1,2.5,2.81127451,2,2.977040816,1.5,1,1.5,2.680645161,4,2.861111111,3.120481928,2.5,1.5,2,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,4,2,2.5,2.858208955,1.5,2
2563,100239844,0,2.5,3.841071429,0,1,3,2.95412844,2,3.5,1.5,0,3,1.5,1,3.5,2,2.453405018,2.5,1,2,2,2.5,1,1.5,2.5,2.81127451,2,2.977040816,3,2.5,2.5,2.680645161,2,2.861111111,3.120481928,3,3,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3,3,2,2,1.5,2.17
2562,100239854,1.5,2.5,3.841071429,0,2,3,2.95412844,2.5,3,2.5,2.5,3.5,1.5,1.5,2.5,2.5,2.453405018,2,1.5,3,2,2,2,2.5,2.5,2.5,2.5,2.977040816,1.5,2.5,2.5,2.680645161,3.5,2.861111111,3.120481928,3,3.5,3,2.553191489,2.838709677,1.5,3.458333333,3.421875,3.303571429,4,3,4,2.858208955,3,2.36
2562,100239887,4,4,3.841071429,4,4,3.5,3.5,2.5,4,3.844117647,2.5,4,4,4,4,4,2.453405018,4,4,4,4,4,4,4,4,4,4,2.977040816,4,4,4,2.680645161,4,2.861111111,3.120481928,3.5,4,3,2.553191489,2.838709677,4,3.458333333,3.421875,3.303571429,3.416666667,4,4,4,4,3.78
2562,100239895,1.5,2.5,3.841071429,2,2,2.5,2,2.5,3.5,3.844117647,2,2.5,3.5,2.5,1.5,3,2.453405018,1.5,2.5,2,2.5,1.5,2,2.5,2.5,2.5,2,2.977040816,2.5,2.5,2,2.680645161,3,2.861111111,3.120481928,3,2.5,3,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.303571429,3.416666667,3,3,2.858208955,2,2.29
2564,100239901,0,2,3.841071429,0,0,3,2.95412844,2,3.5,3.5,2,1.5,1.5,1,1,1.5,2.453405018,2,0,2,1,1,1,2,1.5,2,1.5,2.977040816,1.5,2.5,1.5,2.680645161,3,2.861111111,3.120481928,2.5,1.5,2,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3,3,1.5,2.858208955,2,2.03
2562,100239902,1.5,2.5,3.841071429,1,3.5,2.5,2.5,2.5,2.5,3.844117647,1.5,3,2.5,2.5,2,2.5,2.453405018,4,1.5,2,2,3,2,3.5,4,3,3,2.977040816,4,3.5,2.5,2.680645161,3.5,2.861111111,3.120481928,3,3,3.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,3,3,3,3.5,2.55
